SN,Yr_disclosure,Regions,Codes,Number_of_StudR,Number_of_StudE,Student_participation_rates_to_ODC,Number_of_student_participating_ODC,Employed_students_to_CEA,Number_of_Departments_participating_ODC,Number_of_CEA,Difference_of_lecture_sizeclass,sizeclass_equal_under30,sizeclass_over30,ShannonD_for_lecture_credits,ShannonD_for_major_credits,Evenness_for_major_credits,Number_of_students_for_major_credits,ShannonD_for_liberal_credits,Evenness_for_liberal_credits,Number_of_students_for_liberal_credits,Number_of_capstone_students,Capstone_funds,TPTC_per_1K,TPTC,Number_of_volunteer_CL/PG_per_1K,Number_of_volunteer_CL/PG_students,Number_of_volunteer_CL/PG,Rates_of_volunteer_CL/PG_students_to_total_students,Library_literature_per_student,Library_spenditure_per_student,Number_of_StudE_per_faculty,Number_of_StudR_per_faculty,Number_of_entrepreneurship_CL_students,Number_of_entrepreneurship_PG_students,Number_of_entrepreneurship_CLPG_totalstudents,Number_of_entrepreneurship_faculty,entrepreneurship_funds(college),entrepreneurship_funds(business),startup_funds,fund_per_ntrepreneurship_student,startup_supporting_fund,Rates_of_faculty(StudE),Rates_of_faculty(StudR),Faculty_book_publications,factulty_paper_publications,Land_rates(StudE),Land_rates(StudR),Building_rates(StudE),Building_rates(StudR),Total_funds_of_financial_supports,Number_of_financial_support_projects,Total_GF,Number_of_GF_projects,Total_LGF,Number_of_LGF_projects,Financial_supports_per_StudE,Income_of_CIC,total_income_of_CIC,Educational_supports_fee_per_StudE,total_educational_support_fee,total_scholarship_outside,national_scholarship,total_scholarship_inside,disaster_scholaship,total_scholarship,scholarship_per_StudE,Registered_faculty_class_credits,Contract_based_faculty_class credits,Registered_faculty_credit_ratio,Contract_based_faculty_credit_ratio,Total_credits,Average_graduated_scores,Average_graduated_scores_100,Graduate_ShannonD,Graduate_evenness,Number_of_graduates,Number_of_employed,Number_of_exceptions_employment,Freelance,Founders,Industry_faculty_hired,Industry_faculty_designated,Industry_faculty_contract,Industry_faculty_career_less5yr,Industry_faculty_career_over5yr,Ind_facult_over_to_under,Industry_faculty_per_1K,Over5yr_ratio_per_1K,Safety_faculty_ratio,Safety_manage_budget_SCI,Safety_manage_budget_spenditure,Employment_rates
11,2019,02_Inchon,C012,3321,3755,5.51,207,99,8,47,0.445,1770,787,1.963,1.897,0.863,54606,2.028,0.923,11650,1066,94423006,82.823,311,0.799,1156,3,0.308,26.7,28211.9,34.24,38.71,3123,264,3387,2,0,0,0,0,37177160,63.4,56.07,0.075,0.141,91.6,84,136.4,125.5,10112125810,19,7941932600,10,2170193210,9,2692976.248,660821408,9574498505,10546237.2,41815830687,9846853360,9685473660,3263031890,0,13109885250,3490384.8,2951.5,2122.5,0.582,0.418,5074,3.28,83.36,1.741,0.792,1518,1091,95,12,12,1,0,0,0.267,0.733,275,0.266,73.236,25,2200000,100,77.7
12,2019,02_Inchon,C013,5756,6879,3.74,257,19,14,107,0.581,2517,1462,1.887,1.935,0.88,85493,1.839,0.837,18947,608,108525160,0,0,0.145,24,1,0.003,31,24573.9,33.86,40.46,1718,290,2008,2,4500000,104464310,108964310,54265.095,108964310,61.37,51.52,0.015,0.38,54.2,54.1,105.8,105.5,6936295000,43,6882356000,40,53939000,3,1008328.972,557984063,7847308121,11091518.6,73015467237,18153478286,17832202726,7514808700,0,25668286986,3966051.8,5246,4352,0.547,0.453,9598,3.36,87.01,1.629,0.837,2838,1738,180,0,20,21,9,0,0.138,0.862,625,4.361,90.856,33.333,42632720,99.097,68.4
13,2019,03_Daejeon,C014,4107,4193,4.77,200,45,7,104,0.603,1389,838,2.015,2.015,0.917,49953,2.014,0.917,10944,434,16598845,83.472,350,2.862,321,12,0.077,42.1,26832.9,40.66,41.51,972,0,972,1,0,20000000,20000000,20576.132,6787490,51.01,50,0.034,0.007,201.7,213.7,119.3,126.5,3629344000,22,3362238000,11,267106000,11,865572.144,247849070,3957352711,10225406.6,40860724684,10660831604,10607760084,3368028556,0,14028860160,3632537.6,2578,2889,0.472,0.528,5467,3.39,86.92,1.723,0.829,1686,986,272,35,22,0,0,0,0,0,0,0,0,50,22531310,51.856,68
14,2019,03_Daejeon,C015,4151,4477,0,0,0,0,0,0.825,1410,1163,2.023,2.039,0.928,57472,2.007,0.913,21549,124,36533300,94.483,423,0.223,584,1,0.13,78.7,28619.9,34.02,36.7,1328,540,1868,2,5000000,60000000,65000000,34796.574,65000000,61.62,56.74,0.07,0.208,255.2,219.5,192.4,165.5,5248835000,8,5109167000,7,139668000,1,1172400.045,119163424,5600344845,10344546.6,45257391401,11903858470,11809072690,3660715490,0,15564573960,3655372,2696.5,2724.1,0.497,0.503,5420.6,3.24,85.62,1.72,0.827,1529,992,235,35,14,1,23,0,0.217,0.783,360,5.361,80.411,0,19388720,49.588,72.4
15,2019,03_Daejeon,C016,5292,5730,0,0,0,0,0,1.455,1088,1583,1.991,2.012,0.916,69439,1.97,0.897,16725,209,17097010,32.635,187,4.363,4685,25,0.818,30.6,29966.5,34.14,36.97,1342,171,1513,3,139900041,778782800,918682841,607192.889,86104760,59.16,54.2,0.034,0.253,72.9,71.7,128,126,7431796000,24,6983560000,16,448236000,8,1296997.557,790764147,8092636485,9605307.1,55883676833,15827500100,15635446260,4845299030,0,20672799130,3617287.7,4293.5,2577.5,0.625,0.375,6871,3.35,85.05,1.674,0.762,2138,1501,127,8,10,5,0,0,0.154,0.846,550,0.873,95.986,33.333,113136000,72.338,76.5
16,2019,03_Daejeon,C017,4770,4671,6.25,292,158,17,118,0.468,1758,822,1.912,1.919,0.873,50940,1.905,0.867,10855,1371,16949620,171.912,803,5.78,737,27,0.158,36,23234.4,39.42,38.6,2888,284,3172,2,12000000,0,12000000,3783.102,15000000,55.25,56.02,0.037,0.126,103,106.2,118,121.6,3321213140,14,2637725140,8,683488000,6,711028.289,52852447,3470334597,10367289.7,47554757651,12907907480,12748775680,3957189479,0,16865096959,3842583,2531,3819,0.399,0.601,6350,3.29,87.11,1.661,0.854,1895,1087,241,13,9,11,1,6,0.5,0.5,100,3.854,21.409,50,126095990,100,65.8
17,2019,04_Sejong,C018,3202,3462,0,0,0,0,0,0.507,1172,594,2.002,1.888,0.859,37572,2.116,0.963,11173,1660,232277509,120.451,417,4.333,615,15,0.178,34.2,22258.8,32.67,35.33,2164,237,2401,1,1000000,58184270,59184270,24649.842,59184270,63.23,58.68,0.062,0.034,335,311.4,131.1,121.8,6257986000,11,6187986000,8,70000000,3,1807621.606,936542651,7424326087,10630788.1,37664882148,9325104076,9239695806,2923329140,0,12248433216,3581413.2,2520,2161,0.538,0.462,4681,3.04,84.91,1.474,0.758,1280,683,253,38,7,19,17,2,0.121,0.879,725,10.976,209.417,0,0,0,69.9
18,2019,05_Daegu,C019,4733,5255,5.73,301,112,9,128,0.622,2282,1419,1.963,1.934,0.88,73989,1.993,0.907,19856,121,16446090,76.118,400,0.381,1927,2,0.367,46.5,21665.7,37.56,41.71,2077,288,2365,5,13057850,112105406,125163256,52923.153,97256520,58.06,52.07,0.028,0.159,175.3,170.7,137,133.3,7518400700,34,7225071700,19,293329000,15,1430713.739,869826218,8053732869,11254776.8,58749934951,16866405320,16760826640,5564909370,0,22431314690,4432190.2,2677.6,4290.6,0.384,0.616,6968.2,3.35,87.51,1.563,0.872,2118,1278,374,53,18,6,0,0,0.167,0.833,500,1.142,95.147,50,11547150,88.824,68.6
19,2019,05_Daegu,C020,1826,1672,5.08,85,64,5,120,0.42,777,326,1.856,1.857,0.845,23729,1.856,0.845,3239,223,29073250,272.727,456,1.196,1,2,0.001,62.8,22737.6,32.61,29.86,1962,348,2310,2,14894490,13019600,27914090,12084.022,0,62.92,68.29,0.088,0.013,184.6,200.1,249.1,270,614184473,10,544697473,7,69487000,3,367335.211,328755849,775611614,9858028.5,16906518832,4291427957,4266532777,1674364639,0,5965792596,3631036.3,1173.7,1097.3,0.517,0.483,2271,3.43,86.09,1.669,0.76,739,417,115,1,11,1,3,0,0.474,0.526,111.111,2.392,66.454,50,13392050,89.639,72.2
20,2019,05_Daegu,C021,3879,4100,4.85,199,4,7,83,0.672,1318,886,1.945,1.892,0.861,63063,1.998,0.909,9674,289,6674260,75.854,311,24.39,2384,100,0.581,37.7,24262,29.61,31.3,1111,234,1345,2,0,29735000,29735000,22107.807,29735000,71.2,66.16,0.095,0.091,62.9,57.9,185.7,170.9,8296033178,27,7252913178,16,1043120000,11,2023422.726,1274912256,7736883347,11219118,45594495390,14486530323,14443474873,5014907042,0,19501437365,4880239.6,2767,2416.9,0.534,0.466,5183.9,3.4,85.7,1.581,0.76,1517,1012,127,0,20,2,11,0,0.25,0.75,300,3.171,73.171,50,25648340,73.281,68
21,2019,05_Daegu,C022,6118,7004,1.76,123,12,4,48,1.524,1490,2271,1.923,1.953,0.889,99319,1.894,0.862,14173,769,65511063,38.407,269,2.856,1096,20,0.156,34.3,24899.9,33.43,38.27,2714,575,3289,2,4350000,0,4350000,1322.59,224791063,60.6,52.89,0.07,0.187,30.1,27.4,137.9,125.4,8536765000,41,7532059000,23,1004706000,18,1218841.376,1133340044,9385866233,10290142,69746582571,19604562152,19394747062,6292796000,0,25897358152,3868741.9,3613.8,4390.2,0.451,0.549,8004,3.36,84.97,1.697,0.772,2362,1595,144,0,5,11,20,2,0.302,0.698,230.769,4.712,32.948,33.333,75389780,79.754,75.7
22,2019,05_Daegu,C023,3420,3506,6.42,225,56,9,93,1.029,828,852,1.965,1.949,0.887,49173,1.98,0.901,7875,245,55937729,39.076,137,5.419,1397,19,0.398,33.9,31570.2,40.24,41.25,526,135,661,2,13706130,110598498,124304628,188055.413,51317490,53.13,51.52,0.37,0.244,280.5,254.9,194.5,176.8,8142004068,36,2986171620,15,5155832448,21,2322305.781,428424890,8106464852,11139269.6,38931747146,9284250500,9218452380,2938122830,0,12222373330,3582172.7,1561.5,2565.5,0.378,0.622,4127,3.4,85.41,1.705,0.776,1353,761,146,0,17,5,0,0,0.48,0.52,108.333,1.426,30.899,33.333,46556720,60.518,66.3
23,2019,05_Daegu,C024,5017,5740,9.27,532,141,18,159,0.906,1632,1479,1.93,1.938,0.882,71537,1.922,0.875,17885,733,84301737,103.659,595,1.568,855,9,0.149,42.4,29622.3,34.6,39.59,2096,563,2659,4,50000000,60473000,110473000,41546.822,271373000,59.67,51.97,0.051,0.379,104.5,92.7,159.6,141.6,11207400931,35,10705168931,22,502232000,13,1952508.873,257035252,10440484906,10958165.5,61278061724,16294738710,15975083640,6297066960,0,22591805670,4109095.2,3281,3620,0.475,0.525,6901,3.37,84.99,1.7,0.774,2326,1515,215,6,17,10,0,0,0.314,0.686,218.75,1.742,38.11,33.333,25375000,72.756,73.1
24,2019,05_Daegu,C026,5790,8037,13.25,1065,346,32,264,0.699,2704,1890,1.941,1.917,0.872,100461,1.966,0.895,13208,999,29555250,162.623,1307,0.249,579,2,0.072,42.5,31547.9,27.18,37.73,4147,212,4359,2,7000000,16000000,23000000,5276.44,23000000,77.74,56.05,0.032,0.017,948.7,805.3,147.7,125.4,6363875000,30,5557108000,17,806767000,13,791822.197,1952606199,6830508413,12139334.9,96556269533,23170461960,23071207440,7841986155,0,31012448115,3978505.2,5923.5,5093.5,0.538,0.462,11017,3.4,85.63,1.602,0.729,3187,2179,342,16,10,7,10,0,0.567,0.433,76.316,2.115,9.496,50,11438130,26.355,81.3
25,2019,06_Busan,C027,5697,6950,0.52,36,11,1,1,0.705,2222,1567,1.936,1.929,0.878,80246,1.944,0.885,19305,801,104125100,103.453,719,1.439,2185,10,0.314,32.7,22321.2,31.13,37.98,1685,441,2126,0,0,237159820,237159820,111552.126,256794820,67.03,54.95,0.191,0.074,79,72.7,154.2,142.4,6750295270,20,6501356000,12,248939270,8,971265.506,132159422,6993199235,10071095.9,67677764428,18832519521,18619082561,5894098830,0,24726618351,3765857.2,4878,4557.2,0.517,0.483,9435.2,3.59,89.86,1.63,0.742,2726,1804,241,0,16,14,20,0,0.297,0.703,236.364,4.892,34.009,33.333,0,0,73
26,2019,06_Busan,C028,1525,1490,0,0,0,0,0,1.295,383,496,1.905,1.942,0.884,23259,1.868,0.85,5603,173,12017140,61.745,92,18.792,500,28,0.336,34.9,25668.8,38.13,37.25,466,261,727,2,7000000,60000000,67000000,92159.56,63336339,56.34,55.56,0.661,0.27,58.6,59.7,118.9,121.1,1851500000,4,1847500000,3,4000000,1,1242617.45,1530000,1856514744,9619444.4,14977474972,3848771193,3774186633,1296718316,0,5145489509,3378522.3,798,1106,0.419,0.581,1904,3.41,85.17,1.486,0.715,483,400,42,0,2,1,0,0,0.143,0.857,600,0.671,402.685,33.333,4402610,44.026,72.5
27,2019,06_Busan,C030,4888,5500,1.35,74,43,3,119,0.211,3415,722,1.966,1.971,0.897,63877,1.962,0.893,15817,751,55092487,38.545,212,0.182,147,1,0.027,30.8,26607.6,32.81,36.91,1327,370,1697,2,479000,79620040,80099040,47200.377,80099040,63.68,56.23,0.191,0.106,107.6,98.5,154.7,141.6,7264846330,32,6538477470,17,726368860,15,1320881.151,812244506,11602966706,11370142.9,60261757467,15367533670,15173661990,4051285845,0,19418819515,3770644.6,4620,3989,0.537,0.463,8609,3.44,85.76,1.522,0.782,2127,1284,257,0,14,10,9,0,0.29,0.71,244.444,3.455,44.444,33.333,19068420,79.452,68.3
28,2019,06_Busan,C031,3222,3194,4.85,155,65,7,82,0.303,1639,496,1.947,1.949,0.887,37389,1.945,0.885,7656,166,27141382,80.776,258,23.795,2146,76,0.672,36.6,25654.9,34.28,33.98,1146,917,2063,4,0,27400000,27400000,13281.629,30700000,61.44,61.44,0.158,0.134,140.1,138.8,153.7,152.4,4373391872,12,4125035200,9,248356672,3,1369252.308,123779493,4535474640,10691428.1,33517627121,8292906584,8245318024,2525351797,0,10818258381,3596495.5,2377,2410,0.497,0.503,4787,3.24,82.95,1.738,0.791,1106,745,126,0,10,2,19,0,0.176,0.824,466.667,6.575,146.107,50,19889600,100,68.4
29,2019,06_Busan,C032,2992,2818,4.44,125,26,7,72,0.212,1376,292,1.958,1.948,0.887,25295,1.967,0.895,12673,106,10566674,99.361,280,1.774,159,5,0.056,34,5806.3,40.99,38.6,2288,56,2344,2,81530000,13403000,94933000,40500.427,0,54.89,58.4,0.008,0.078,158.8,190.8,122,146.6,1955558860,16,1744868000,4,210690860,12,693952.754,0,1564302853,8916552.1,26384077616,10013846510,9974926350,2916128670,0,12929975180,4794206.6,1737,2369,0.423,0.577,4106,3.28,83.54,1.817,0.827,929,599,214,2,34,6,0,0,0.214,0.786,366.667,2.129,130.116,0,923820,100,62.8
30,2019,06_Busan,C033,3158,4104,14.74,605,106,13,185,0.434,1549,672,2.022,1.985,0.903,48224,2.059,0.937,11113,573,42583610,96.248,395,0.975,129,4,0.031,38.5,18171,28.2,36.64,1774,100,1874,3,0,76432800,76432800,40785.912,76432800,74.17,57.44,0.175,0.043,167.7,132,198,155.9,7600359620,15,7366262620,10,234097000,5,1851939.479,140051955,5495874472,10218889.7,41304752226,8739372015,8616333635,3622515790,0,12361887805,3038065.3,3076.5,2419.5,0.56,0.44,5496,3.36,84.87,1.706,0.776,1607,928,166,2,20,0,13,0,0.313,0.688,220,3.168,53.606,50,0,0,64.2
31,2019,06_Busan,C034,3013,2820,7.77,219,104,8,80,1.206,722,871,1.992,2.046,0.931,37356,1.938,0.882,7665,327,77882575,36.879,104,2.128,1037,6,0.368,55.6,21943.3,41.27,38.63,1283,84,1367,1,0,93219600,93219600,68192.831,93219600,54.48,57.94,0.082,0.094,121.2,123.8,146,149.2,4360368000,4,4282368000,2,78000000,2,1546229.787,28460912,4527362725,10466715.9,30112741502,7341950648,7251569248,2419590510,0,9761541158,3468920.1,1678.5,1870.5,0.473,0.527,3549,2.95,80.21,1.784,0.812,978,695,36,0,5,2,0,0,0.074,0.926,1250,0.709,443.262,50,8397230,87.471,68.3
32,2019,06_Busan,C035,902,761,0,0,0,0,0,0.228,434,99,2.002,1.883,0.857,12024,2.121,0.965,1364,0,0,0,0,0,0,0,0,17.4,8351.4,41,34.59,0,0,0,0,0,0,0,0,0,48.89,57.89,0.005,0,330.8,392.3,176.8,209.7,0,0,0,0,0,0,0,16949500,69350901,9148050.2,6851889619,1876782892,1865544332,564121878,0,2440904770,3394860.6,490.1,605.9,0.447,0.553,1096,3.5,86.46,1.491,0.717,301,90,78,0,6,0,0,0,1,0,0,0,0,0,0,0,40.1
33,2019,07_Ulsan,C037,4692,5191,7.99,415,77,7,125,0.486,1902,924,1.91,1.864,0.848,49885,1.956,0.89,14440,214,28031817,87.844,456,1.156,0,6,0,35.2,28008.2,34.5,38.17,2587,731,3318,2,0,269967253,269967253,81364.452,269967253,59.39,53.54,0.05,0.236,244.8,238,152.2,148,10893817999,48,8673899310,30,2219918689,18,2098597.187,2632669813,13288776159,10753158.9,54152908345,9659360060,9529339960,4114740110,0,13774100170,2817365.5,5184.6,2810.3,0.648,0.352,7994.9,3.46,88.1,1.599,0.822,1609,1063,91,6,10,13,7,0,0.324,0.676,209.091,3.853,40.28,50,36651720,71.03,74.9
34,2019,07_Ulsan,C038,2170,2736,0,0,0,0,0,1.208,659,796,1.869,1.913,0.871,40382,1.824,0.83,8359,682,44024160,0,0,5.482,452,15,0.165,30.7,26563.5,29.73,37.48,410,99,509,1,0,0,0,0,146380460,68.22,53.68,0.07,0.144,231.5,184.3,158.9,126.5,4423658000,12,4019986000,3,403672000,9,1616834.064,54701990,4414391473,9726423.7,25940372003,6412731060,6329007220,1823588050,0,8236319110,3122183.1,1579,1501,0.513,0.487,3080,3.48,86.78,1.423,0.794,789,653,40,0,2,5,0,0,0.067,0.933,1400,1.827,511.696,50,18679239,56.78,86
35,2019,08_Gwangju,C039,3247,3778,0,0,0,0,0,0.959,926,888,1.932,1.965,0.895,49366,1.898,0.864,12096,486,30520126,16.675,63,0.794,174,3,0.046,54.1,34120.7,32.15,37.41,444,88,532,4,0,72731880,72731880,136714.06,72731880,62.73,54.01,0.077,0.385,106.7,96.6,145.4,131.8,6206894500,15,6169394500,14,37500000,1,1642904.844,293264182,6675021195,9663007.1,36816057056,10300962419,10242752000,1985965550,0,12286927969,3280888.6,2210.6,1929.3,0.534,0.466,4139.9,3.44,86.05,1.623,0.78,1345,984,74,0,3,7,14,0,0.167,0.833,500,5.558,132.345,33.333,20232180,72.909,76.2
36,2019,08_Gwangju,C040,446,619,0,0,0,0,0,3.092,65,201,1.854,1.862,0.895,7537,1.847,0.888,2575,0,0,0,0,3.231,30,2,0.048,54.4,31645.6,22.3,30.95,146,18,164,3,0,2700000,2700000,16463.415,2700000,86.96,64.52,0.005,0.142,221.7,164.9,128.3,95.4,852380000,3,852380000,3,0,0,1377027.464,1700000,870584847,9190016.9,5808090700,1581260550,1575260550,427358880,0,2008619430,3178195.3,331.3,208.9,0.613,0.387,540.2,3.33,85.11,1.425,0.795,172,142,1,0,0,1,0,0,0.273,0.727,266.667,1.616,430.802,0,4748000,94.96,82.1
